categoria,contador,descripcion,marca,nombre_crudo,precio,tienda,url,volumen
Gaseosas,223,,SPRITE,GASEOSA SPRITE X 1LT  ,2100.0,Blowmax,https://blowmax.com.ar/producto/gaseosa-sprite-x-1lt/,1000
Gaseosas,224,,SPRITE,GASEOSA SPRITE X 2.25LT  ,3300.0,Blowmax,https://blowmax.com.ar/producto/gaseosa-sprite-x-225lt/,2250
Gaseosas,225,,SPRITE,GASEOSA SPRITE X 500CC  ,990.0,Blowmax,https://blowmax.com.ar/producto/gaseosa-sprite-x-500cc/,500
Gaseosas,226,SIN AZUCAR,SPRITE,GASEOSA SPRITE ZERO 2.25 LT  ,3300.0,Blowmax,https://blowmax.com.ar/producto/gaseosa-sprite-zero-2-25-lt/,2250
Gaseosas,227,NARANJA,TALCA,GASEOSA TALCA NARANJA 3LT  ,1490.0,Blowmax,https://blowmax.com.ar/producto/gaseosa-talca-naranja-3lt/,3000
Fideos,228,TALLARIN,SANTA ISABEL,FIDEOS SANTA ISABEL TALLARIN 500GR  ,679.0,Blowmax,https://blowmax.com.ar/producto/fideos-santa-isabel-tallarin-500gr/,500
Fideos,229,TALLARIN,SAN AGUSTIN,FIDEOS SAN AGUSTIN TALLARIN X 500GR  ,749.0,Blowmax,https://blowmax.com.ar/producto/fideos-san-agustin-tallarin-x-500gr/,500
Fideos,230,TALLARIN,DON VICENTE,FIDEOS DON VICENTE TALLARIN X 500GR  ,2250.0,Blowmax,https://blowmax.com.ar/producto/fideos-don-vicente-tallarin-x-500gr/,500
Fideos,231,MUNICION,SAN AGUSTIN,FIDEOS SAN AGUSTIN MUNICION X 500GR  ,699.0,Blowmax,https://blowmax.com.ar/producto/fideos-san-agustin-municion-x-500gr/,500
Fideos,232,TIRABUZON,SANTA ISABEL,FIDEOS SANTA ISABEL TIRABUZON 500GR  ,679.0,Blowmax,https://blowmax.com.ar/producto/fideos-santa-isabel-tirabuzon-500gr/,500
Fideos,233,SPAGHETTI,SANTA ISABEL,FIDEOS SANTA ISABEL SPAGHETTI 500GR  ,679.0,Blowmax,https://blowmax.com.ar/producto/fideos-santa-isabel-spaghetti-500gr/,500
Fideos,234,MOSTACHOL,SAN AGUSTIN,FIDEOS SAN AGUSTIN MOSTACHOL X 500GR  ,699.0,Blowmax,https://blowmax.com.ar/producto/fideos-san-agustin-mostachol-x-500gr/,500
Fideos,235,SPAGHETTI,SAN AGUSTIN,FIDEOS SAN AGUSTIN SPAGHETTI X 500GR  ,749.0,Blowmax,https://blowmax.com.ar/producto/fideos-san-agustin-spaghetti-x-500gr/,500
Fideos,236,DEDALITO,SAN AGUSTIN,FIDEOS SAN AGUSTIN DEDALITOS X 500GR  ,699.0,Blowmax,https://blowmax.com.ar/producto/fideos-san-agustin-dedalitos-x-500gr/,500
Fideos,237,PAMPERO,LA PROVIDENCIA,FIDEOS LA PROVIDENCIA PAMPERO X500GR  ,899.0,Blowmax,https://blowmax.com.ar/producto/fideos-la-providencia-pampero-x500gr/,500
Fideos,238,RIGATTI,LA PROVIDENCIA,FIDEOS LA PROVIDENCIA RIGATTI  X500GR  ,899.0,Blowmax,https://blowmax.com.ar/producto/fideos-la-providencia-rigatti-x500gr/,500
Fideos,239,AVE MARIA,SAN AGUSTIN,FIDEOS SAN AGUSTIN AVE MARIA X 500GR  ,699.0,Blowmax,https://blowmax.com.ar/producto/fideos-san-agustin-ave-maria-x-500gr/,500
Fideos,240,CELENTANO,SAN AGUSTIN,FIDEOS SAN AGUSTIN CELENTANO X 500GR  ,699.0,Blowmax,https://blowmax.com.ar/producto/fideos-san-agustin-celentano-x-500gr/,500
Fideos,241,TIRABUZON,SAN AGUSTIN,FIDEOS SAN AGUSTIN TIRABUZON X 500GR  ,699.0,Blowmax,https://blowmax.com.ar/producto/fideos-san-agustin-tirabuzon-x-500gr/,500
