categoria,contador,descripcion,marca,nombre_crudo,precio,tienda,url,volumen
Shampoos,150,PARA BEBE BABY CABELLO CLARO,JOHNSONS,SHAMPOO PARA BEBE JOHNSON BABY CABELLO CLARO 200 ML.,5034.0,Atomo,https://atomoconviene.com/atomo-ecommerce/cuidado-del-bebe/78363-shampoo-para-bebe-johnson-baby-cabello-claro-200-ml---7790010003063.html,200
Yerbas,151,COMPUESTA MEZCLA DE HIERBAS,PRO BELL,YERBA COMPUESTA PRO BELL MEZCLA DE HIERBAS 500 GRS,1148.0,Atomo,https://atomoconviene.com/atomo-ecommerce/yerba-mate/96921-yerba-compuesta-pro-bell-mezcla-de-hierbas-500-grs--7793395000436.html,500
Yerbas,152,POMELO,CBSE,YERBA COMP. CBSE POMELO 500 GRS,1812.0,Atomo,https://atomoconviene.com/atomo-ecommerce/yerba-mate/79979-yerba-comp--cbse-pomelo-500-grs--7790710334610.html,500
Yerbas,153,SIN PALO,ROSAMONTE,YERBA S.PALO ROSAMONTE  1000 GRS,4987.0,Atomo,https://atomoconviene.com/atomo-ecommerce/yerba-mate/64235-yerba-s-palo-rosamonte--1000-grs--7790411000807.html,1000
Yerbas,154,COCO,CACHAMATE,YERBA COMP. CACHAMATE COCO 500 GRS,1629.9,Atomo,https://atomoconviene.com/atomo-ecommerce/yerba-mate/61590-yerba-comp--cachamate-coco-500-grs--7792280005785.html,500
Yerbas,155,CON PALO ORIGINAL,LIEBIG,YERBA C/PALO LIEBIG ORIGINAL 500 GRS,2537.0,Atomo,https://atomoconviene.com/atomo-ecommerce/yerba-mate/60488-yerba-c-palo-liebig-original-500-grs--7793704000805.html,500
Yerbas,156,NARANJA,CACHAMATE,YERBA COMP. CACHAMATE NARANJA 500 GRS,1629.9,Atomo,https://atomoconviene.com/atomo-ecommerce/yerba-mate/58799-yerba-comp--cachamate-naranja-500-grs--7792280000285.html,500
Yerbas,157,MATE CON PALO,CACHAMAI,YERBA MATE CACHAMAI CON PALO 500 GRS,1590.0,Atomo,https://atomoconviene.com/atomo-ecommerce/yerba-mate/33928-yerba-mate-cachamai-con-palo-500-grs--7792280006140.html,500
Yerbas,158,CON PALO S/TACC,CHAMIGO,YERBA C/PALO CHAMIGO S/TACC 500 GRS,1616.0,Atomo,https://atomoconviene.com/atomo-ecommerce/yerba-mate/12495-yerba-c-palo-chamigo-s-tacc-500-grs--7790070509123.html,500
Yerbas,159,HIERBAS,VERDEFLOR,YERBA COMP. VERDEFLOR HIERBAS 1000 GRS,2902.0,Atomo,https://atomoconviene.com/atomo-ecommerce/yerba-mate/11271-yerba-comp--verdeflor-hierbas-1000-grs--7793670000076.html,1000
Yerbas,160,HIERBAS,VERDEFLOR,YERBA COMP. VERDEFLOR HIERBAS 500 GRS,1500.0,Atomo,https://atomoconviene.com/atomo-ecommerce/yerba-mate/60495-yerba-comp--verdeflor-hierbas-500-grs--7793670000052.html,500
Yerbas,161,CEDRON,VERDEFLOR,YERBA COMP. VERDEFLOR CEDRON 500 GRS,1500.0,Atomo,https://atomoconviene.com/atomo-ecommerce/yerba-mate/10256-yerba-comp--verdeflor-cedron-500-grs--7793670400517.html,500
Yerbas,162,BOLDO,VERDEFLOR,YERBA COMP. VERDEFLOR +BOLDO 500 GRS,1500.0,Atomo,https://atomoconviene.com/atomo-ecommerce/yerba-mate/86028-yerba-comp--verdeflor--boldo-500-grs--7793670000014.html,500
Yerbas,163,BOLDO,VERDEFLOR,YERBA COMP. VERDEFLOR +BOLDO 1000 GRS,2902.0,Atomo,https://atomoconviene.com/atomo-ecommerce/yerba-mate/45716-yerba-comp--verdeflor--boldo-1000-grs--7793670400524.html,1000
Yerbas,164,CON PALO,PLAYADITO,YERBA C/PALO PLAYADITO   500 GRS,2177.0,Atomo,https://atomoconviene.com/atomo-ecommerce/yerba-mate/56315-yerba-c-palo-playadito---500-grs--7793704000911.html,500
Yerbas,165,CON PALO SUAVE PLUS,ROSAMONTE,YERBA C/PALO ROSAMONTE SUAVE PLUS 500 GRS,1684.0,Atomo,https://atomoconviene.com/atomo-ecommerce/yerba-mate/56582-yerba-c-palo-rosamonte-suave-plus-500-grs--7790411001521.html,500
Yerbas,166,SIN PALO,ROSAMONTE,YERBA S/PALO ROSAMONTE   500 GRS,2130.0,Atomo,https://atomoconviene.com/atomo-ecommerce/yerba-mate/64245-yerba-s-palo-rosamonte---500-grs--7790411000814.html,500
Yerbas,167,CON PALO ESPECIAL,ROSAMONTE,YERBA C/PALO ROSAMONTE ESPECIAL 500 GRS,2779.0,Atomo,https://atomoconviene.com/atomo-ecommerce/yerba-mate/73953-yerba-c-palo-rosamonte-especial-500-grs--7790411000029.html,500
Yerbas,168,CON PALO ESPECIAL,ROSAMONTE,YERBA C/PALO ROSAMONTE ESPECIAL 1000 GRS,5882.0,Atomo,https://atomoconviene.com/atomo-ecommerce/yerba-mate/73940-yerba-c-palo-rosamonte-especial-1000-grs--7790411000012.html,1000
Yerbas,169,SIN PALO 4FLEX,TARAGUI,YERBA S/PALO TARAGUI 4FLEX 500 GRS,2783.0,Atomo,https://atomoconviene.com/atomo-ecommerce/yerba-mate/59424-yerba-s-palo-taragui-4flex-500-grs--7790387013504.html,500
Yerbas,170,CON PALO S/TACC,CHAMIGO,YERBA C/PALO CHAMIGO S/TACC 1000 GRS,3068.0,Atomo,https://atomoconviene.com/atomo-ecommerce/yerba-mate/12510-yerba-c-palo-chamigo-s-tacc-1000-grs--7790070509017.html,1000
Yerbas,171,CON PALO SUAVE,AMANDA,YERBA C/PALO AMANDA SUAVE 500 GRS,2116.0,Atomo,https://atomoconviene.com/atomo-ecommerce/yerba-mate/62334-yerba-c-palo-amanda-suave-500-grs--7792710006436.html,500
Yerbas,172,CON PALO TRADICIONAL,AMANDA,YERBA C/PALO AMANDA TRADICIONAL 1000 GRS,3748.0,Atomo,https://atomoconviene.com/atomo-ecommerce/yerba-mate/66723-yerba-c-palo-amanda-tradicional-1000-grs--7792710000175.html,1000
Yerbas,173,CON PALO TRADICIONAL,AMANDA,YERBA C/PALO AMANDA TRADICIONAL 500 GRS,1802.0,Atomo,https://atomoconviene.com/atomo-ecommerce/yerba-mate/23523-yerba-c-palo-amanda-tradicional-500-grs--7792710000182.html,500
Yerbas,174,SIN PALO AZUL,AMANDA,YERBA S/PALO AMANDA AZUL 1000 GRS,3952.0,Atomo,https://atomoconviene.com/atomo-ecommerce/yerba-mate/64495-yerba-s-palo-amanda-azul-1000-grs--7792710000373.html,1000
Yerbas,175,SIN PALO AZUL,AMANDA,YERBA S/PALO AMANDA AZUL 500 GRS,1869.3,Atomo,https://atomoconviene.com/atomo-ecommerce/yerba-mate/79353-yerba-s-palo-amanda-azul-500-grs--7792710000380.html,500
Yerbas,176,HIERBAS SERRANA,AMANDA,YERBA COMP. AMANDA HIERBAS SERRANA 500 GRS,1657.0,Atomo,https://atomoconviene.com/atomo-ecommerce/yerba-mate/78914-yerba-comp--amanda-hierbas-serrana-500-grs--7792710006450.html,500
Yerbas,177,JENGIBRE,CBSE,YERBA COMP. CBSE JENGIBRE 500 GRS,1812.0,Atomo,https://atomoconviene.com/atomo-ecommerce/yerba-mate/79983-yerba-comp--cbse-jengibre-500-grs--7790710003332.html,500
Yerbas,178,SILUETA NARANJA,CBSE,YERBA COMP. CBSE SILUETA NARANJA 500 GRS,1812.0,Atomo,https://atomoconviene.com/atomo-ecommerce/yerba-mate/79971-yerba-comp--cbse-silueta-naranja-500-grs--7790710334641.html,500
Yerbas,179,LIMON,CBSE,YERBA COMP. CBSE LIMON 500 GRS,1812.0,Atomo,https://atomoconviene.com/atomo-ecommerce/yerba-mate/79973-yerba-comp--cbse-limon-500-grs--7790710334597.html,500
Yerbas,180,NARANJA,CBSE,YERBA COMP. CBSE NARANJA 500 GRS,1812.0,Atomo,https://atomoconviene.com/atomo-ecommerce/yerba-mate/79976-yerba-comp--cbse-naranja-500-grs--7790710334580.html,500
Yerbas,181,LITORAL,CBSE,YERBA COMP. CBSE LITORAL 500 GRS,1812.0,Atomo,https://atomoconviene.com/atomo-ecommerce/yerba-mate/27975-yerba-comp--cbse-litoral-500-grs--7790710334672.html,500
Yerbas,182,HIERBAS SERRANA,CBSE,YERBA COMP. CBSE HIERBAS SERRANA 500 GRS,1812.0,Atomo,https://atomoconviene.com/atomo-ecommerce/yerba-mate/79960-yerba-comp--cbse-hierbas-serrana-500-grs--7790710334535.html,500
Yerbas,183,CON PALO LIVIANA 4FLEX,UNION,YERBA C/PALO UNION LIVIANA 4FLEX 500 GRS,2456.0,Atomo,https://atomoconviene.com/atomo-ecommerce/yerba-mate/59388-yerba-c-palo-union-liviana-4flex-500-grs--7790387014143.html,500
Yerbas,184,CON PALO 4 FLEX,MANANITA,YERBA C/PALO MAÑANITA 4 FLEX 500 GRS,2435.0,Atomo,https://atomoconviene.com/atomo-ecommerce/yerba-mate/53814-yerba-c-palo-mananita-4-flex-500-grs--7790387015324.html,500
Yerbas,185,HIERBAS SERRANA,CACHAMATE,YERBA COMP. CACHAMATE HIERBAS SERRANA 500 GRS,1482.3,Atomo,https://atomoconviene.com/atomo-ecommerce/yerba-mate/60565-yerba-comp--cachamate-hierbas-serrana-500-grs--7792280005730.html,500
Yerbas,186,SERRANA CEDRON,CACHAMATE,YERBA COMP. CACHAMATE SERRANA CEDRON 500 GRS,1482.3,Atomo,https://atomoconviene.com/atomo-ecommerce/yerba-mate/79408-yerba-comp--cachamate-serrana-cedron-500-grs--7792280000612.html,500
Yerbas,187,AMARILLA,CACHAMATE,YERBA COMP. CACHAMATE AMARILLA 500 GRS,1482.3,Atomo,https://atomoconviene.com/atomo-ecommerce/yerba-mate/54636-yerba-comp--cachamate-amarilla-500-grs--7792280005686.html,500
Yerbas,188,ROSA,CACHAMATE,YERBA COMP. CACHAMATE ROSA 500 GRS,1482.3,Atomo,https://atomoconviene.com/atomo-ecommerce/yerba-mate/32938-yerba-comp--cachamate-rosa-500-grs--7792280005693.html,500
Yerbas,189,CON PALO SUAVE ESPECIAL,LA TRANQUERA,YERBA C/PALO LA TRANQUERA SUAVE ESPECIAL 1000 GRS,4197.0,Atomo,https://atomoconviene.com/atomo-ecommerce/yerba-mate/41212-yerba-c-palo-la-tranquera-suave-especial-1000-grs--7790480089949.html,1000
Yerbas,190,CON PALO SUAVE ESPECIAL,LA TRANQUERA,YERBA C/PALO LA TRANQUERA SUAVE ESPECIAL 500 GRS,1869.0,Atomo,https://atomoconviene.com/atomo-ecommerce/yerba-mate/41158-yerba-c-palo-la-tranquera-suave-especial-500-grs--7790480089932.html,500
Yerbas,191,CON PALO SELECCION,CRUZ DE MALTA,YERBA C/PALO CRUZ DE MALTA SELECCION 500 GRS,2413.0,Atomo,https://atomoconviene.com/atomo-ecommerce/yerba-mate/50491-yerba-c-palo-cruz-de-malta-seleccion-500-grs--7790070507389.html,500
Yerbas,192,CON PALO,PRO BELL,YERBA C/PALO PRO BELL   500 GRS,1501.0,Atomo,https://atomoconviene.com/atomo-ecommerce/yerba-mate/58825-yerba-c-palo-pro-bell---500-grs--7793395000153.html,500
Yerbas,193,SIN PALO ESTAC.NATURAL,ATOMO,YERBA S/PALO ATOMO ESTAC.NATURAL 500 GRS,1744.0,Atomo,https://atomoconviene.com/atomo-ecommerce/yerba-mate/64353-yerba-s-palo-atomo-estac-natural-500-grs--4407342643531.html,500
Yerbas,194,SERRANAS,PIPORE,YERBA COMP. PIPORE SERRANAS 500 GRS,1821.0,Atomo,https://atomoconviene.com/atomo-ecommerce/yerba-mate/6956-yerba-comp--pipore-serranas-500-grs--7793750000415.html,500
Yerbas,195,NARANJA,PIPORE,YERBA COMP. PIPORE NARANJA 500 GRS,1821.0,Atomo,https://atomoconviene.com/atomo-ecommerce/yerba-mate/37710-yerba-comp--pipore-naranja-500-grs--7793750000231.html,500
Yerbas,196,CID NARANJA,YERBACID,YERBA COMP. YERBACID NARANJA 500 GRS,1369.0,Atomo,https://atomoconviene.com/atomo-ecommerce/yerba-mate/14397-yerba-comp--yerbacid-naranja-500-grs--7798172360154.html,500
Yerbas,197,CID BOLDO,YERBACID,YERBA COMP. YERBACID BOLDO 500 GRS,1369.0,Atomo,https://atomoconviene.com/atomo-ecommerce/yerba-mate/24032-yerba-comp--yerbacid-boldo-500-grs--7798172360185.html,500
Yerbas,198,HIERBAS,BUENAS Y SANTAS,YERBA COMP. BUENAS Y SANTAS HIERBAS 500 GRS,2345.0,Atomo,https://atomoconviene.com/atomo-ecommerce/yerba-mate/40410-yerba-comp--buenas-y-santas-hierbas-500-grs--7790387800197.html,500
